NISN,Kehadiran,Nilai_Rata,Jumlah_Pelanggaran,Penghasilan_Ortu,Status
1316939096,48.0,47.9,2,3,DO-Nilai
1208310080,67.3,81.7,14,2,DO-Masalah
1812461166,90.2,77.6,5,4,Non-Dropout
1107493897,63.8,68.3,3,4,Non-Dropout
1927400005,48.0,75.2,14,1,DO-Masalah
1852142273,63.0,59.7,1,1,DO-Nilai
1423764068,72.6,76.8,5,3,Non-Dropout
1427828713,78.5,66.1,0,4,Non-Dropout
1847448986,82.9,61.6,4,2,DO-Nilai
1184955183,72.0,63.4,6,1,DO-Nilai
1284328878,76.3,74.2,2,4,Non-Dropout
1494804173,56.6,93.1,16,2,DO-Masalah
1353322056,48.0,48.9,3,1,DO-Nilai
1137942165,91.1,76.1,1,1,Non-Dropout
1942608729,69.9,38.0,8,1,DO-Nilai
1140299001,67.8,38.8,8,1,DO-Nilai
1968265596,52.3,92.2,3,2,DO-Nilai
1479477785,63.6,75.7,14,1,DO-Masalah
1931926754,96.0,83.4,3,4,Non-Dropout
1912919351,76.0,61.7,5,2,Non-Dropout
1745863639,68.3,87.2,4,4,Non-Dropout
1753595755,65.8,59.1,0,2,DO-Nilai
1417709490,66.6,90.8,1,2,Non-Dropout
1448999147,69.0,40.8,4,1,DO-Nilai
1603317192,65.6,40.0,13,4,DO-Masalah
1767772397,88.5,85.0,6,2,Non-Dropout
1192021613,48.0,67.1,2,2,DO-Nilai
1386374368,48.0,48.6,0,2,DO-Nilai
1268615513,83.0,72.8,1,3,Non-Dropout
1222921164,88.8,81.6,3,3,Non-Dropout
1293752104,93.7,75.0,8,3,Non-Dropout
1497316519,87.1,64.0,1,1,Non-Dropout
1614892922,79.6,68.5,14,1,DO-Masalah
1906609572,60.3,69.7,6,1,DO-Nilai
1955376535,82.6,81.3,5,3,Non-Dropout
1751352532,82.5,95.0,8,4,Non-Dropout
1410871887,70.2,44.7,3,1,DO-Nilai
1197208362,97.0,83.1,0,2,Non-Dropout
1887625212,65.2,78.9,2,1,Non-Dropout
1979979176,78.8,73.8,4,4,Non-Dropout
1514508619,48.0,38.0,4,2,DO-Nilai
1615036668,81.0,53.9,12,1,DO-Masalah
1958775660,85.5,77.8,5,2,DO-Nilai
1672002906,98.8,59.6,4,4,Non-Dropout
1954842233,98.3,85.0,1,3,Non-Dropout
1983544064,55.6,55.1,0,3,DO-Nilai
1511480529,80.1,85.5,7,3,Non-Dropout
1714051343,62.9,54.4,0,1,DO-Nilai
1181979547,49.6,55.8,3,1,DO-Nilai
1080257230,95.8,76.1,2,4,Non-Dropout
1570869406,72.4,60.1,3,3,Non-Dropout
1257239573,58.6,54.1,10,2,DO-Masalah
1493783878,69.9,80.1,4,3,Non-Dropout
1561754794,87.4,57.6,14,2,DO-Masalah
1016549560,76.4,77.3,3,3,Non-Dropout
1123337872,92.5,88.8,2,3,Non-Dropout
1354062476,85.8,76.0,5,3,Non-Dropout
1854982376,80.5,93.0,2,2,Non-Dropout
1530561457,72.8,46.1,10,1,DO-Nilai
1077464240,66.4,88.3,0,2,Non-Dropout
1360509792,90.0,81.0,3,4,Non-Dropout
1703496718,77.9,68.9,7,4,Non-Dropout
1787834018,59.3,81.2,11,2,DO-Masalah
1004231132,80.5,72.8,0,3,Non-Dropout
1611622610,92.2,81.0,1,2,Non-Dropout
1730820441,69.6,91.4,0,4,Non-Dropout
1572317317,78.4,74.2,6,3,Non-Dropout
1295657711,72.7,67.5,13,2,DO-Masalah
1680223536,48.0,63.2,3,4,DO-Nilai
1012891416,74.4,59.5,0,4,Non-Dropout
1625931728,71.5,62.4,11,1,DO-Masalah
1342615351,92.0,95.0,6,4,Non-Dropout
1444463480,83.3,78.0,4,4,Non-Dropout
1280823620,70.9,91.8,0,3,Non-Dropout
1178224210,99.0,66.1,1,4,Non-Dropout
1146192537,79.8,84.7,0,4,Non-Dropout
1631513646,72.4,75.3,0,4,Non-Dropout
1987836282,65.4,57.0,16,2,DO-Masalah
1050990335,81.2,58.9,18,1,DO-Masalah
1426557720,99.0,89.5,3,4,Non-Dropout
1038806802,56.6,40.8,8,1,DO-Nilai
1051277992,85.7,75.5,9,4,Non-Dropout
1367638183,89.4,68.2,4,3,Non-Dropout
1549043001,73.0,69.0,1,3,Non-Dropout
1246913225,88.1,56.0,2,4,Non-Dropout
1596212068,90.2,54.9,4,3,Non-Dropout
1811232313,78.6,82.4,7,3,Non-Dropout
1313699700,63.0,61.0,13,1,DO-Masalah
1170206043,61.8,69.5,16,2,DO-Masalah
1899617225,49.0,49.4,9,1,DO-Nilai
1471459705,88.1,82.1,3,3,Non-Dropout
1061747240,67.6,76.8,0,3,Non-Dropout
1746827510,72.9,86.2,0,4,Non-Dropout
1832183101,61.5,52.3,4,4,DO-Nilai
1448520456,96.9,48.3,1,3,Non-Dropout
1246531310,64.8,59.0,3,2,DO-Nilai
1864742624,83.7,60.5,0,3,Non-Dropout
1202376320,48.0,69.6,0,2,DO-Nilai
1125807467,48.0,40.9,6,1,DO-Nilai
1520401399,98.1,77.4,1,3,Non-Dropout
1184508479,77.7,78.4,4,4,Non-Dropout
1292918313,81.0,67.3,0,4,Non-Dropout
1295806119,74.9,46.2,3,1,DO-Nilai
1705274535,88.1,84.7,0,4,Non-Dropout
1392096929,51.7,68.3,3,1,DO-Nilai
1075854914,80.0,78.7,0,4,Non-Dropout
1600974331,63.5,57.6,0,3,Non-Dropout
1986561498,55.5,51.6,3,3,DO-Nilai
1212858503,50.1,43.6,5,2,DO-Nilai
1832782413,91.1,89.4,3,3,Non-Dropout
1600222123,71.5,51.7,7,1,DO-Nilai
1186444583,81.2,68.3,1,3,Non-Dropout
1753572902,61.7,48.0,12,1,DO-Masalah
1379763582,75.9,79.2,4,4,Non-Dropout
1700722372,64.0,74.0,16,1,DO-Masalah
1875316961,78.7,47.2,3,2,DO-Nilai
1574400851,97.2,71.9,4,4,Non-Dropout
1087470236,88.8,75.2,4,3,Non-Dropout
1798245448,81.5,95.0,0,3,Non-Dropout
1727861880,58.8,85.8,2,3,Non-Dropout
1121939317,48.0,50.3,6,3,DO-Nilai
1778192149,76.8,82.7,5,3,Non-Dropout
1134969289,99.0,78.4,3,4,Non-Dropout
1885915129,63.3,79.8,0,4,Non-Dropout
1147052454,86.3,67.3,2,4,Non-Dropout
1161273456,86.1,80.5,4,3,Non-Dropout
1585536267,73.8,64.9,1,2,Non-Dropout
1092887818,66.7,39.1,2,1,DO-Nilai
1035523949,92.6,85.0,0,4,Non-Dropout
1815167217,61.8,53.8,13,1,DO-Masalah
1550542964,79.7,64.3,5,4,Non-Dropout
1694294565,66.5,91.9,4,3,Non-Dropout
1407211386,79.2,74.0,0,3,Non-Dropout
1178846583,88.5,74.8,3,1,Non-Dropout
1380006467,80.2,53.6,4,3,Non-Dropout
1935091864,71.1,84.0,0,4,Non-Dropout
1839968176,66.3,56.6,7,3,Non-Dropout
1769810742,68.9,67.6,5,2,Non-Dropout
1248631906,63.7,46.9,4,3,DO-Nilai
1660334051,80.2,66.2,3,4,Non-Dropout
1653119535,79.6,78.7,3,1,Non-Dropout
1816638578,90.1,95.0,1,4,Non-Dropout
1656149688,78.1,54.6,12,2,DO-Masalah
1172989247,63.7,44.1,6,1,DO-Nilai
1365170885,84.4,68.0,6,3,Non-Dropout
1830190116,68.3,65.5,13,2,DO-Masalah
1056705959,60.7,68.6,13,2,DO-Masalah
1958942203,77.5,62.7,12,2,DO-Masalah
1367651507,79.7,77.6,2,2,Non-Dropout
1869116815,62.6,53.8,7,2,DO-Nilai
1671155309,51.7,73.4,17,2,DO-Masalah
1468298127,68.8,64.0,3,4,Non-Dropout
1201852961,87.3,69.9,14,1,DO-Masalah
1330138411,68.0,79.5,13,2,DO-Masalah
1192817608,50.1,74.3,7,1,DO-Nilai
1793333958,64.7,65.9,3,2,DO-Nilai
1119331209,69.6,55.6,5,1,DO-Nilai
1157373770,87.1,69.8,4,3,Non-Dropout
1533174470,81.5,81.0,1,4,Non-Dropout
1690309473,70.4,91.0,6,1,Non-Dropout
1559678637,66.4,52.7,14,1,DO-Masalah
1784574496,66.4,38.0,4,1,DO-Nilai
1998361097,74.0,71.8,4,3,Non-Dropout
1013462027,53.6,38.0,4,1,DO-Nilai
1248135627,61.7,50.6,4,1,DO-Nilai
1404625512,73.2,47.1,14,1,DO-Masalah
